 Time of day,Intersection Type,Number of lanes,Number of Vehicles,Accidents
Morning,All way stop,4,98,0
Morning,All way stop,3,75,0
Morning,Signalised,8,489,0
Morning,Signalised,4,228,1
Morning,All way stop,3,49,0
Morning,Signalised,8,467,0
Morning,All way stop,6,102,0
Afternoon,Signalised,6,187,0
Afternoon,All way stop,3,29,0
Afternoon,Signalised,4,109,0
Afternoon,Signalised,4,154,0
Afternoon,Signalised,8,201,0
Afternoon,All way stop,6,76,0
Afternoon,Signalised,6,232,0
Afternoon,All way stop,4,126,0
Evening,Signalised,6,398,0
Evening,All way stop,4,59,1
Evening,All way stop,3,48,0
Evening,Signalised,6,470,0
Evening,Signalised,8,774,0
Evening,All way stop,4,92,0
Afternoon,Signalised,6,198,0
Afternoon,All way stop,3,39,0
Afternoon,Signalised,4,111,1
Morning,All way stop,3,18,0
Morning,Signalised,6,487,0
Morning,Signalised,8,567,0
Morning,Signalised,6,189,0
Afternoon,Signalised,4,55,0
Afternoon,Signalised,6,132,0
Afternoon,All way stop,4,75,0
Afternoon,All way stop,4,103,0
Evening,All way stop,4,90,0
Evening,Signalised,6,458,0
Evening,All way stop,3,48,0
Evening,All way stop,4,98,0
Evening,Signalised,6,88,0
Morning,All way stop,4,128,1
Morning,Signalised,6,220,0
Morning,Signalised,8,639,0
Morning,All way stop,3,48,0
Afternoon,Signalised,6,206,0
Afternoon,Signalised,4,39,0
Afternoon,All way stop,3,23,0
Afternoon,Signalised,8,421,0
Afternoon,All way stop,4,93,0
Evening,All way stop,4,87,0
Evening,Signalised,6,440,0
Evening,All way stop,3,80,0
Evening,All way stop,4,87,0
Morning,All way stop,4,56,0
Morning,All way stop,4,163,0
Morning,Signalised,6,487,0
Morning,Signalised,8,259,0
Morning,All way stop,4,95,1
Morning,All way stop,4,33,0
Afternoon,Signalised,8,549,0
Afternoon,All way stop,4,38,0
Afternoon,Signalised,4,98,0
Afternoon,All way stop,3,20,0
Evening,All way stop,4,43,0
Evening,All way stop,3,11,0
Evening,Signalised,4,30,0
Evening,Signalised,6,214,0
Morning,Signalised,6,145,0
Morning,All way stop,4,66,0
Morning,Signalised,8,632,0
Morning,All way stop,4,54,0
Afternoon,Signalised,6,183,0
Afternoon,All way stop,4,82,1
Afternoon,Signalised,6,238,0
Afternoon,Signalised,8,685,0
Morning,All way stop,3,40,0
Morning,Signalised,4,74,0
Morning,All way stop,3,28,0
Morning,All way stop,4,58,0
Afternoon,Signalised,6,260,0
Afternoon,Signalised,6,169,0
Afternoon,All way stop,3,65,0
Evening,All way stop,4,89,0
Evening,Signalised,8,748,0
Evening,Signalised,8,689,0
Afternoon,All way stop,4,57,0
Afternoon,All way stop,4,35,0
Afternoon,Signalised,6,143,0
Morning,Signalised,4,70,0
Morning,Signalised,8,625,1
Afternoon,All way stop,3,51,0
Afternoon,All way stop,4,67,0
Afternoon,Signalised,4,76,0
Morning,Signalised,6,495,0
Morning,All way stop,4,35,0
Morning,Signalised,4,73,0
Evening,All way stop,3,16,0
Evening,All way stop,4,10,0
Afternoon,Signalised,4,96,0
Morning,Signalised,6,234,0
Morning,Signalised,8,754,0
Afternoon,Signalised,4,176,0
Afternoon,All way stop,3,21,0
Afternoon,Signalised,4,111,0
Morning,All way stop,3,18,0
Morning,Signalised,6,242,2
Morning,Signalised,8,535,0
Morning,Signalised,6,189,0
Afternoon,Signalised,8,198,0
Afternoon,All way stop,4,59,0
Afternoon,All way stop,4,75,0
Afternoon,All way stop,4,111,0
Evening,All way stop,4,90,1
Evening,Signalised,8,542,0
Evening,All way stop,3,12,0
Evening,All way stop,4,36,0
Evening,Signalised,6,88,0
Morning,All way stop,4,128,1
Morning,Signalised,6,220,0
Morning,Signalised,8,587,0
Morning,All way stop,3,32,0
Afternoon,Signalised,6,206,0
Afternoon,Signalised,4,20,0
Afternoon,All way stop,3,48,0
Afternoon,All way stop,4,55,0
Evening,All way stop,4,78,0
Evening,Signalised,8,764,0
Evening,Signalised,6,601,0
Evening,All way stop,3,37,0
Evening,All way stop,3,2,0
Afternoon,Signalised,4,90,0
Afternoon,Signalised,6,219,0
Afternoon,All way stop,4,37,1
Morning,Signalised,8,683,1
Morning,All way stop,4,25,0
Afternoon,Signalised,6,536,0
Afternoon,All way stop,4,14,0
Afternoon,Signalised,6,354,0
Morning,Signalised,6,452,0
Morning,Signalised,6,536,0
Morning,All way stop,4,21,0
Evening,Signalised,8,621,0
Evening,All way stop,3,24,0
Afternoon,Signalised,6,128,0
Morning,All way stop,4,68,0
Morning,All way stop,4,30,0
Morning,Signalised,6,210,2
Morning,Signalised,8,189,0
Morning,All way stop,4,43,0
Afternoon,Signalised,6,380,1
Afternoon,Signalised,4,48,0
Afternoon,All way stop,4,18,0
Afternoon,Signalised,6,221,0
Evening,All way stop,4,93,0
Evening,All way stop,4,87,0
Afternoon,Signalised,4,401,0
Afternoon,All way stop,3,32,0
Afternoon,All way stop,3,67,1
Morning,All way stop,4,99,0
Morning,All way stop,4,110,0
Morning,Signalised,8,600,0
Morning,Signalised,8,588,0
Evening,All way stop,3,50,0
Evening,All way stop,4,32,0
Afternoon,Signalised,6,549,0
Afternoon,All way stop,4,38,0
Afternoon,Signalised,8,200,0
Afternoon,All way stop,4,63,0
Afternoon,Signalised,6,117,0
Afternoon,All way stop,4,111,0
Evening,All way stop,4,86,0
Evening,Signalised,8,542,0
Evening,All way stop,3,12,1
Evening,All way stop,4,36,0
Evening,Signalised,6,88,0
Morning,All way stop,4,128,0
Morning,Signalised,6,220,0
Morning,Signalised,8,487,0
Morning,All way stop,3,32,0
Afternoon,Signalised,6,206,0
Afternoon,Signalised,4,20,0
Afternoon,All way stop,3,48,0
Afternoon,All way stop,4,55,1
Evening,All way stop,4,78,0
Evening,Signalised,8,764,0
Evening,Signalised,6,501,0
Evening,All way stop,3,37,0
Evening,All way stop,3,2,0
Afternoon,Signalised,4,90,0
Afternoon,Signalised,6,219,0
Afternoon,All way stop,4,37,0
Morning,Signalised,8,683,0
Morning,All way stop,4,25,0
Afternoon,Signalised,6,436,0
Morning,Signalised,6,420,0
Morning,Signalised,8,219,0
Afternoon,All way stop,3,62,0
Afternoon,All way stop,4,22,0
Evening,Signalised,4,190,1
Morning,All way stop,3,69,0
Morning,Signalised,6,190,0
Evening,Signalised,8,434,0
